# At time x allocated y bytes for process z from i to j
At time 1 allocated 52 bytes for process 1 from 0 to 63
At time 3 allocated 38 bytes for process 2 from 64 to 127
At time 5 allocated 100 bytes for process 3 from 128 to 255
At time 7 allocated 245 bytes for process 4 from 256 to 511
At time 9 allocated 50 bytes for process 5 from 512 to 575
At time 11 allocated 230 bytes for process 6 from 768 to 1023
At time 63 freed 52 bytes from process 1 from 0 to 63
At time 65 freed 38 bytes from process 2 from 64 to 127
At time 67 freed 100 bytes from process 3 from 128 to 255
At time 69 freed 245 bytes from process 4 from 256 to 511
At time 71 freed 50 bytes from process 5 from 512 to 575
At time 73 freed 230 bytes from process 6 from 768 to 1023
